QUANTITY                                ,PRODUCT_ID ,LOCATION_ID,BARCODE             ,PRODUCT_CODE        ,LOCATION_DESC                                               
                                  3.0000,-2147447444,002        ,7630000241078       ,02046D004005101     ,MAMUL DEPO                                                  
                                  2.0000,-2147447296,001        ,7630000242174       ,02016700423922      ,KAMPANYA DEPO                                               
                                  5.0000,-2147447224,002        ,7630000242808       ,21016700058145      ,MAMUL DEPO                                                  
                                   .0000,-2147447222,002        ,7630000242877       ,21046D000581KD1     ,MAMUL DEPO                                                  
                                  1.0000,-2147447221,099        ,7630000242884       ,21046D000581KD2     ,Fabrika Transfer                                            
                                  7.0000,-2147447219,002        ,7630000242846       ,21046D00058128      ,MAMUL DEPO                                                  
                                 17.0000,-2147447215,002        ,7630000242914       ,11046D00058428      ,MAMUL DEPO                                                  
                                 30.0000,-2147447210,           ,7630000242907       ,11046D00058416      ,                                                            
                                 17.0000,-2147447205,002        ,7630000242990       ,11016700058445      ,MAMUL DEPO                                                  
                                  1.0000,-2147447205,001        ,7630000242990       ,11016700058445      ,KAMPANYA DEPO                                               
                                 20.0000,-2147447201,002        ,7630000243034       ,45016700059545      ,MAMUL DEPO                                                  
                                 15.0000,-2147447196,002        ,7630000243072       ,45046D00059528      ,MAMUL DEPO                                                  
                                  1.0000,-2147447191,002        ,7630000243140       ,45046D000596KD2     ,MAMUL DEPO                                                  
                                 -1.0000,-2147447190,099        ,7630000243126       ,45046D000596K88     ,Fabrika Transfer                                            
                                 -1.0000,-2147447170,008        ,7630000243324       ,12046D000799KD2     ,SHOWROOM                                                    
                                  3.0000,-2147447153,002        ,7630000243485       ,12046D000853KD2     ,MAMUL DEPO                                                  
                                   .0000,-2147447152,002        ,7630000243492       ,12006700085401      ,MAMUL DEPO                                                  
                                   .0000,-2147447140,002        ,7630000243614       ,05004100370301      ,MAMUL DEPO                                                  
                                  1.0000,-2147447140,003        ,7630000243614       ,05004100370301      ,BULGARÝSTAN DEPO                                            
                                   .0000,-2147447140,009        ,7630000243614       ,05004100370301      ,PETEK RUSS                                                  
                                   .0000,-2147447138,009        ,7630000243638       ,05046B00370301      ,PETEK RUSS                                                  
                                   .0000,-2147447138,005        ,7630000243638       ,05046B00370301      ,KAZAKÝSTAN DEPO                                             
                                   .0000,-2147447138,002        ,7630000243638       ,05046B00370301      ,MAMUL DEPO                                                  
                                  1.0000,-2147447126,008        ,7630000243737       ,05046D003861KD1     ,SHOWROOM                                                    
                                   .0000,-2147447126,009        ,7630000243737       ,05046D003861KD1     ,PETEK RUSS                                                  
                                  1.0000,-2147447089,002        ,7630000244079       ,05046D003878KD2     ,MAMUL DEPO                                                  
                                  6.0000,-2147447045,001        ,7630000244208       ,21007100058109      ,KAMPANYA DEPO                                               
                                  1.0000,-2147447042,001        ,7630000244239       ,21009700058109      ,KAMPANYA DEPO                                               
                                  2.0000,-2147447038,001        ,7630000244277       ,1100TB000584T22     ,KAMPANYA DEPO                                               
                                  1.0000,-2147446999,001        ,7630000244321       ,11009700058409      ,KAMPANYA DEPO                                               
                                   .0000,-2147446993,001        ,7630000244369       ,30024900101402      ,KAMPANYA DEPO                                               
                                  1.0000,-2147446983,001        ,7630000244383       ,30004300101401      ,KAMPANYA DEPO                                               
                                   .0000,-2147446982,001        ,7630000244390       ,30000000101404      ,KAMPANYA DEPO                                               
                                   .0000,-2147446979,001        ,7630000244420       ,30008100101426      ,KAMPANYA DEPO                                               
                                  1.0000,-2147446978,001        ,7630000244437       ,30012500101409      ,KAMPANYA DEPO                                               
                                  2.0000,-2147446974,001        ,7630000244468       ,30009700101409      ,KAMPANYA DEPO                                               
                                  1.0000,-2147446968,001        ,7630000244505       ,3000TB001014T01     ,KAMPANYA DEPO                                               
                                  1.0000,-2147446967,001        ,7630000244529       ,3000TB001014T09     ,KAMPANYA DEPO                                               
                                  2.0000,-2147446907,001        ,7630000245014       ,30009400101420      ,KAMPANYA DEPO                                               
                                  4.0000,-2147446877,082        ,7630000245212       ,08004130-01102      ,MUSTERI 2                                                   
                                  1.0000,-2147446875,082        ,7630000245236       ,08004630-01102      ,MUSTERI 2                                                   
                                   .0000,-2147446838,003        ,7630000245564       ,03016700010290      ,BULGARÝSTAN DEPO                                            
                                   .0000,-2147446838,001        ,7630000245564       ,03016700010290      ,KAMPANYA DEPO                                               
                                   .0000,-2147446837,002        ,7630000245571       ,03046D000102KD1     ,MAMUL DEPO                                                  
                                  1.0000,-2147446837,022        ,7630000245571       ,03046D000102KD1     ,ANNA BABOK                                                  
                                   .0000,-2147446834,003        ,7630000245601       ,030041000108A31     ,BULGARÝSTAN DEPO                                            
                                  4.0000,-2147446834,002        ,7630000245601       ,030041000108A31     ,MAMUL DEPO                                                  
                                   .0000,-2147446831,001        ,7630000245632       ,03016700010890      ,KAMPANYA DEPO                                               
                                   .0000,-2147446831,003        ,7630000245632       ,03016700010890      ,BULGARÝSTAN DEPO                                            
                                  1.0000,-2147446830,022        ,7630000245649       ,03046D000108KD1     ,ANNA BABOK                                                  
                                  3.0000,-2147446830,002        ,7630000245649       ,03046D000108KD1     ,MAMUL DEPO                                                  
                                  7.0000,-2147446826,002        ,7630000245687       ,03046D000112KD1     ,MAMUL DEPO                                                  
                                   .0000,-2147446826,005        ,7630000245687       ,03046D000112KD1     ,KAZAKÝSTAN DEPO                                             
                                   .0000,-2147446822,005        ,7630000245724       ,03046D000120KD1     ,KAZAKÝSTAN DEPO                                             
                                   .0000,-2147446822,003        ,7630000245724       ,03046D000120KD1     ,BULGARÝSTAN DEPO                                            
                                  3.0000,-2147446822,022        ,7630000245724       ,03046D000120KD1     ,ANNA BABOK                                                  
                                  6.0000,-2147446822,002        ,7630000245724       ,03046D000120KD1     ,MAMUL DEPO                                                  
                                  3.0000,-2147446819,002        ,7630000245762       ,03046D000121KD1     ,MAMUL DEPO                                                  
                                   .0000,-2147446816,002        ,7630000245786       ,03046D000131KD1     ,MAMUL DEPO                                                  
                                  2.0000,-2147446816,022        ,7630000245786       ,03046D000131KD1     ,ANNA BABOK                                                  
                                   .0000,-2147446811,005        ,7630000245830       ,03046D000135KD1     ,KAZAKÝSTAN DEPO                                             
                                  1.0000,-2147446811,002        ,7630000245830       ,03046D000135KD1     ,MAMUL DEPO                                                  
                                  8.0000,-2147446809,002        ,7630000245854       ,03046D000137KD1     ,MAMUL DEPO                                                  
                                  2.0000,-2147446797,002        ,7630000245946       ,03046D000143KD1     ,MAMUL DEPO                                                  
                                   .0000,-2147446788,002        ,7630000246011       ,03046D000182KD1     ,MAMUL DEPO                                                  
                                   .0000,-2147446788,003        ,7630000246011       ,03046D000182KD1     ,BULGARÝSTAN DEPO                                            
                                 13.0000,-2147446774,002        ,7630000246141       ,03046D000199KD1     ,MAMUL DEPO                                                  
